date,CPI,CPI_lag1,CPI_lag2,CPI_lag3,CPI_lag4
2003-01-01,114.29,,,,
2003-02-01,114.82,114.29,,,
2003-03-01,114.78,114.82,114.29,,
2003-04-01,114.62,114.78,114.82,114.29,
2003-05-01,113.62,114.62,114.78,114.82,114.29
2003-06-01,113.93,113.62,114.62,114.78,114.82
2003-07-01,113.91,113.93,113.62,114.62,114.78
2003-08-01,113.35,113.91,113.93,113.62,114.62
2003-09-01,113.28,113.35,113.91,113.93,113.62
2003-10-01,113.2,113.28,113.35,113.91,113.93
2003-11-01,112.48,113.2,113.28,113.35,113.91
2003-12-01,111.99,112.48,113.2,113.28,113.35
2004-01-01,111.28,111.99,112.48,113.2,113.28
2004-02-01,110.58,111.28,111.99,112.48,113.2
2004-03-01,110.25,110.58,111.28,111.99,112.48
2004-04-01,110.22,110.25,110.58,111.28,111.99
2004-05-01,110.15,110.22,110.25,110.58,111.28
2004-06-01,110.13,110.15,110.22,110.25,110.58
2004-07-01,110.36,110.13,110.15,110.22,110.25
2004-08-01,111.28,110.36,110.13,110.15,110.22
2004-09-01,111.38,111.28,110.36,110.13,110.15
2004-10-01,111.53,111.38,111.28,110.36,110.13
2004-11-01,111.7,111.53,111.38,111.28,110.36
2004-12-01,111.74,111.7,111.53,111.38,111.28
2005-01-01,112.7,111.74,111.7,111.53,111.38
2005-02-01,112.96,112.7,111.74,111.7,111.53
2005-03-01,113.63,112.96,112.7,111.74,111.7
2005-04-01,113.77,113.63,112.96,112.7,111.74
2005-05-01,113.84,113.77,113.63,112.96,112.7
2005-06-01,113.68,113.84,113.77,113.63,112.96
2005-07-01,113.16,113.68,113.84,113.77,113.63
2005-08-01,112.53,113.16,113.68,113.84,113.77
2005-09-01,112.33,112.53,113.16,113.68,113.84
2005-10-01,111.68,112.33,112.53,113.16,113.68
2005-11-01,111.27,111.68,112.33,112.53,113.16
2005-12-01,110.91,111.27,111.68,112.33,112.53
2006-01-01,110.71,110.91,111.27,111.68,112.33
2006-02-01,111.18,110.71,110.91,111.27,111.68
2006-03-01,110.61,111.18,110.71,110.91,111.27
2006-04-01,109.77,110.61,111.18,110.71,110.91
2006-05-01,109.42,109.77,110.61,111.18,110.71
2006-06-01,109.03,109.42,109.77,110.61,111.18
2006-07-01,109.26,109.03,109.42,109.77,110.61
2006-08-01,109.62,109.26,109.03,109.42,109.77
2006-09-01,109.44,109.62,109.26,109.03,109.42
2006-10-01,109.15,109.44,109.62,109.26,109.03
2006-11-01,109.03,109.15,109.44,109.62,109.26
2006-12-01,109.0,109.03,109.15,109.44,109.62
2007-01-01,108.2,109.0,109.03,109.15,109.44
2007-02-01,107.61,108.2,109.0,109.03,109.15
2007-03-01,107.37,107.61,108.2,109.0,109.03
2007-04-01,107.6,107.37,107.61,108.2,109.0
2007-05-01,107.76,107.6,107.37,107.61,108.2
2007-06-01,108.48,107.76,107.6,107.37,107.61
2007-07-01,108.7,108.48,107.76,107.6,107.37
2007-08-01,108.59,108.7,108.48,107.76,107.6
2007-09-01,109.35,108.59,108.7,108.48,107.76
2007-10-01,110.83,109.35,108.59,108.7,108.48
2007-11-01,111.49,110.83,109.35,108.59,108.7
2007-12-01,111.87,111.49,110.83,109.35,108.59
2008-01-01,112.56,111.87,111.49,110.83,109.35
2008-02-01,112.66,112.56,111.87,111.49,110.83
2008-03-01,113.35,112.66,112.56,111.87,111.49
2008-04-01,114.3,113.35,112.66,112.56,111.87
2008-05-01,115.12,114.3,113.35,112.66,112.56
2008-06-01,115.14,115.12,114.3,113.35,112.66
2008-07-01,114.73,115.14,115.12,114.3,113.35
2008-08-01,115.04,114.73,115.14,115.12,114.3
2008-09-01,115.05,115.04,114.73,115.14,115.12
2008-10-01,114.23,115.05,115.04,114.73,115.14
2008-11-01,113.78,114.23,115.05,115.04,114.73
2008-12-01,113.28,113.78,114.23,115.05,115.04
2009-01-01,113.35,113.28,113.78,114.23,115.05
2009-02-01,113.85,113.35,113.28,113.78,114.23
2009-03-01,113.98,113.85,113.35,113.28,113.78
2009-04-01,113.16,113.98,113.85,113.35,113.28
2009-05-01,112.28,113.16,113.98,113.85,113.35
2009-06-01,111.87,112.28,113.16,113.98,113.85
2009-07-01,112.01,111.87,112.28,113.16,113.98
