iter	Passed	Remaining
0	0	70
1	1	63
2	1	58
3	2	55
4	2	53
5	3	51
6	3	49
7	4	48
8	4	47
9	5	45
10	5	44
11	5	43
12	6	43
13	6	42
14	7	41
15	7	40
16	8	40
17	8	39
18	9	39
19	9	38
20	10	37
21	10	37
22	10	36
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	13	34
29	14	33
30	14	33
31	15	32
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	18	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	23	24
49	23	23
50	24	23
51	24	23
52	25	22
53	25	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	10
77	37	10
78	37	9
79	38	9
80	38	9
81	38	8
82	39	8
83	39	7
84	40	7
85	40	6
86	41	6
87	41	5
88	42	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
