iter	Passed	Remaining
0	1	1300
1	2	1157
2	2	957
3	3	895
4	4	860
5	4	822
6	5	824
7	6	818
8	7	821
9	8	814
10	8	799
11	9	808
12	10	806
13	11	806
14	12	802
15	13	807
16	13	804
17	14	794
18	15	791
19	16	792
20	16	785
21	17	780
22	18	778
23	19	779
24	19	775
25	20	767
26	21	761
27	21	758
28	22	755
29	23	750
30	23	744
31	24	740
32	25	745
33	26	743
34	26	743
35	27	737
36	28	732
37	28	729
38	29	725
39	30	720
40	30	716
41	31	711
42	31	708
43	32	705
44	33	702
45	33	704
46	34	701
47	35	699
48	35	697
49	36	694
50	37	691
51	37	688
52	38	685
53	39	683
54	39	681
55	40	682
56	41	682
57	42	682
58	42	680
59	43	679
60	44	677
61	44	677
62	45	678
63	46	678
64	47	678
65	47	678
66	48	677
67	49	675
68	50	674
69	50	673
70	51	674
71	52	679
72	53	683
73	54	685
74	55	684
75	56	687
76	57	691
77	58	691
78	59	690
79	59	688
80	60	687
81	61	685
82	62	685
83	62	685
84	63	686
85	64	686
86	65	686
87	66	688
88	67	689
89	69	701
90	70	704
91	71	703
92	72	702
93	72	700
94	73	697
95	73	696
96	74	694
97	75	692
98	76	692
99	76	691
100	77	689
101	78	687
102	78	685
103	79	683
104	80	681
105	81	683
106	82	689
107	83	689
108	84	691
109	85	691
110	86	690
111	86	689
112	87	690
113	89	692
114	89	691
115	90	690
116	91	689
117	92	688
118	93	689
119	94	689
120	94	689
121	95	688
122	96	687
123	97	687
124	97	685
125	98	686
126	99	684
127	100	684
128	101	683
129	102	683
130	103	684
131	104	685
132	105	685
133	105	684
134	106	682
135	107	680
136	107	680
137	108	679
138	109	681
139	110	680
140	111	679
141	112	678
142	112	676
143	113	674
144	114	673
145	114	671
146	115	670
147	116	670
148	117	669
149	117	667
150	118	666
151	119	664
152	119	661
153	120	660
154	120	659
155	121	657
156	122	656
157	122	654
158	123	653
159	124	652
160	124	650
161	125	648
162	126	647
163	126	646
164	127	645
165	128	645
166	129	644
167	129	642
168	130	641
169	131	639
170	131	639
171	132	638
172	133	636
173	133	635
174	134	633
175	135	632
176	135	631
177	136	629
178	136	627
179	137	627
180	138	626
181	139	626
182	140	625
183	140	624
184	141	623
185	142	623
186	143	622
187	143	621
188	144	620
189	145	619
190	146	618
191	146	618
192	147	617
193	148	616
194	149	615
195	149	614
196	150	613
197	151	613
198	152	612
199	152	611
200	153	611
201	154	610
202	155	609
203	155	607
204	156	606
205	157	605
206	157	604
207	158	603
208	159	602
209	159	600
210	160	599
211	161	598
212	162	598
213	162	597
214	163	596
215	164	595
216	164	594
217	165	593
218	166	592
219	166	591
220	167	589
221	167	588
222	168	587
223	169	585
224	169	584
225	170	583
226	170	582
227	171	581
228	172	579
229	172	578
230	173	577
231	174	577
232	175	576
233	176	576
234	176	575
235	177	574
236	178	573
237	178	572
238	179	571
239	180	570
240	180	569
241	181	568
242	182	567
243	182	565
244	183	564
245	183	563
246	184	562
247	185	561
248	185	560
249	186	559
250	187	558
251	187	557
252	188	556
253	189	556
254	190	556
255	191	555
256	191	554
257	192	553
258	193	552
259	193	551
260	194	550
261	195	550
262	196	549
263	196	548
264	197	546
265	197	545
266	198	545
267	199	544
268	200	543
269	200	543
270	201	542
271	202	541
272	203	541
273	203	540
274	204	539
275	205	539
276	206	539
277	207	538
278	207	537
279	208	536
280	209	535
281	210	535
282	210	534
283	211	533
284	212	532
285	212	531
286	213	530
287	214	529
288	214	528
289	215	527
290	215	525
291	216	524
292	217	523
293	217	522
294	218	521
295	219	521
296	219	520
297	220	519
298	221	518
299	221	517
300	222	516
301	223	516
302	224	515
303	224	515
304	225	514
305	226	513
306	227	512
307	227	511
308	228	511
309	229	510
310	229	509
311	230	508
312	231	507
313	231	506
314	232	505
315	233	504
316	233	503
317	234	502
318	235	502
319	235	501
320	236	500
321	237	499
322	237	498
323	238	497
324	239	496
325	239	495
326	240	494
327	240	493
328	241	492
329	242	491
330	242	490
331	243	489
332	244	488
333	244	487
334	245	487
335	246	486
336	247	486
337	248	485
338	248	484
339	249	484
340	250	483
341	250	482
342	251	481
343	252	480
344	252	479
345	253	479
346	254	478
347	254	477
348	255	476
349	256	475
350	256	474
351	257	474
352	258	473
353	258	472
354	259	471
355	260	470
356	261	470
357	262	470
358	262	469
359	263	469
360	264	468
361	265	467
362	266	466
363	266	466
364	267	465
365	268	464
366	268	463
367	269	463
368	270	462
369	271	462
370	272	461
371	272	460
372	273	459
373	274	459
374	275	458
375	275	457
376	276	456
377	277	456
378	277	455
379	278	454
380	279	453
381	280	453
382	281	453
383	282	453
384	283	452
385	284	452
386	285	451
387	286	451
388	286	450
389	287	449
390	288	448
391	289	448
392	290	447
393	290	447
394	291	446
395	293	447
396	293	446
397	294	445
398	295	445
399	296	444
400	296	443
401	297	442
402	298	441
403	298	440
404	299	440
405	300	440
406	301	439
407	302	438
408	303	437
409	303	437
410	304	436
411	305	435
412	306	435
413	307	434
414	308	434
415	308	433
416	309	433
417	310	432
418	311	431
419	312	431
420	312	430
421	313	429
422	314	428
423	315	427
424	315	427
425	317	427
426	318	427
427	319	427
428	320	426
429	321	426
430	322	425
431	323	424
432	323	424
433	324	423
434	325	422
435	326	421
436	327	421
437	327	420
438	328	420
439	329	419
440	330	419
441	331	418
442	332	418
443	333	418
444	334	417
445	335	416
446	336	415
447	336	414
448	337	414
449	338	413
450	338	412
451	339	411
452	340	411
453	341	410
454	342	410
455	343	409
456	344	409
457	345	409
458	346	408
459	347	408
460	348	407
461	349	407
462	350	406
463	351	405
464	352	405
465	353	405
466	354	404
467	354	403
468	355	402
469	356	401
470	357	401
471	358	400
472	358	399
473	359	399
474	360	398
475	361	397
476	361	396
477	362	395
478	363	395
479	364	395
480	365	394
481	366	393
482	366	392
483	368	392
484	369	392
485	370	391
486	371	391
487	372	390
488	372	389
489	373	388
490	374	388
491	375	387
492	376	387
493	377	386
494	377	385
495	378	384
496	379	384
497	380	383
498	381	382
499	382	382
500	383	381
501	383	380
502	384	380
503	385	379
504	386	378
505	387	378
506	388	377
507	388	376
508	389	375
509	390	375
510	391	374
511	392	373
512	393	373
513	394	372
514	394	371
515	395	371
516	396	370
517	397	369
518	398	369
519	399	369
520	401	368
521	402	368
522	403	367
523	403	366
524	404	366
525	405	365
526	406	364
527	406	363
528	407	363
529	408	362
530	409	361
531	410	360
532	411	360
533	412	359
534	413	359
535	414	358
536	415	358
537	415	357
538	416	356
539	417	355
540	418	354
541	419	354
542	420	353
543	421	353
544	422	352
545	423	351
546	424	351
547	425	350
548	426	350
549	427	349
550	428	348
551	428	348
552	429	347
553	430	346
554	431	345
555	432	345
556	433	344
557	434	344
558	435	343
559	436	342
560	437	342
561	438	341
562	439	340
563	439	339
564	440	339
565	441	338
566	443	338
567	444	337
568	444	337
569	445	336
570	446	335
571	447	334
572	448	333
573	449	333
574	450	333
575	451	332
576	452	331
577	453	330
578	453	330
579	455	330
580	456	329
581	457	328
582	458	328
583	459	327
584	460	326
585	461	325
586	461	324
587	462	323
588	462	323
589	463	322
590	464	321
591	465	320
592	466	320
593	467	319
594	468	319
595	469	318
596	470	317
597	471	317
598	472	316
599	473	315
600	473	314
601	474	313
602	474	312
603	475	311
604	476	310
605	476	310
606	477	309
607	478	308
608	479	308
609	481	307
610	482	307
611	483	306
612	483	305
613	484	304
614	485	303
615	485	302
616	486	302
617	487	301
618	487	300
619	488	299
620	489	298
621	490	297
622	491	297
623	491	296
624	492	295
625	493	294
626	494	293
627	494	293
628	495	292
629	496	291
630	496	290
631	497	289
632	498	288
633	498	287
634	499	287
635	500	286
636	501	285
637	501	284
638	502	284
639	503	283
640	504	282
641	505	281
642	505	280
643	506	279
644	507	279
645	507	278
646	508	277
647	509	276
648	510	276
649	511	275
650	512	274
651	513	274
652	514	273
653	515	272
654	516	271
655	517	271
656	518	270
657	518	269
658	519	268
659	520	268
660	521	267
661	522	266
662	523	265
663	524	265
664	525	264
665	528	264
666	529	264
667	530	263
668	531	262
669	532	262
670	532	261
671	533	260
672	534	259
673	535	259
674	536	258
675	537	257
676	539	257
677	540	256
678	541	255
679	542	255
680	543	254
681	544	253
682	545	253
683	546	252
684	546	251
685	547	250
686	548	249
687	550	249
688	551	248
689	563	253
690	564	252
691	565	251
692	566	251
693	567	250
694	568	249
695	569	248
696	569	247
697	570	246
698	571	246
699	572	245
700	573	244
701	574	243
702	575	243
703	577	242
704	578	241
705	579	241
706	580	240
707	580	239
708	581	238
709	582	238
710	583	237
711	584	236
712	585	235
713	586	235
714	588	234
715	589	233
716	590	233
717	591	232
718	592	231
719	593	230
720	593	229
721	594	228
722	595	228
723	596	227
724	597	226
725	598	226
726	600	225
727	601	224
728	602	223
729	603	223
730	604	222
731	605	221
732	606	221
733	607	220
734	608	219
735	609	218
736	610	218
737	611	217
738	612	216
739	613	215
740	614	214
741	615	213
742	616	213
743	617	212
744	618	211
745	619	210
746	620	210
747	622	209
748	624	209
749	625	208
750	626	207
751	627	206
752	628	206
753	628	205
754	630	204
755	631	203
756	633	203
757	633	202
758	634	201
759	635	200
760	636	199
761	637	199
762	638	198
763	638	197
764	639	196
765	640	195
766	641	194
767	642	193
768	642	193
769	643	192
770	644	191
771	645	190
772	646	189
773	647	189
774	648	188
775	649	187
776	650	186
777	651	185
778	652	185
779	652	184
780	653	183
781	654	182
782	655	181
783	656	180
784	659	180
785	660	179
786	661	179
787	663	178
788	664	177
789	664	176
790	665	175
791	667	175
792	668	174
793	669	173
794	670	173
795	672	172
796	673	171
797	674	170
798	675	169
799	676	169
800	676	168
801	677	167
802	678	166
803	680	165
804	681	165
805	682	164
806	683	163
807	685	162
808	686	162
809	687	161
810	688	160
811	689	159
812	690	158
813	691	158
814	692	157
815	693	156
816	695	155
817	695	154
818	697	154
819	698	153
820	699	152
821	699	151
822	700	150
823	701	149
824	702	148
825	703	148
826	704	147
827	705	146
828	706	145
829	707	144
830	708	144
831	710	143
832	711	142
833	712	141
834	713	141
835	715	140
836	716	139
837	717	138
838	718	137
839	720	137
840	721	136
841	722	135
842	722	134
843	723	133
844	724	132
845	725	132
846	726	131
847	727	130
848	728	129
849	729	128
850	730	127
851	731	127
852	732	126
853	733	125
854	735	124
855	736	123
856	737	123
857	738	122
858	739	121
859	740	120
860	741	119
861	742	118
862	744	118
863	745	117
864	746	116
865	747	115
866	748	114
867	751	114
868	753	113
869	755	112
870	756	112
871	757	111
872	758	110
873	759	109
874	761	108
875	762	108
876	763	107
877	765	106
878	766	105
879	767	104
880	768	103
881	769	102
882	771	102
883	772	101
884	773	100
885	774	99
886	776	98
887	777	98
888	779	97
889	780	96
890	781	95
891	782	94
892	783	93
893	785	93
894	786	92
895	787	91
896	788	90
897	789	89
898	791	88
899	792	88
900	793	87
901	793	86
902	795	85
903	796	84
904	797	83
905	798	82
906	799	81
907	800	81
908	801	80
909	802	79
910	803	78
911	804	77
912	805	76
913	806	75
914	807	75
