,"11521100300010200001 »ндексы потребительских цен на товары и услуги"
"€нварь 2016 г.","109,77"
"февраль 2016 г.","108,06"
"март 2016 г.","107,27"
"апрель 2016 г.","107,25"
"май 2016 г.","107,31"
"июнь 2016 г.","107,49"
"июль 2016 г.","107,21"
"август 2016 г.","106,85"
"сент€брь 2016 г.","106,43"
"окт€брь 2016 г.","106,1"
"но€брь 2016 г.","105,78"
"декабрь 2016 г.","105,39"
"€нварь 2017 г.","105,04"
"февраль 2017 г.","104,6"
"март 2017 г.","104,25"
"апрель 2017 г.","104,14"
"май 2017 г.","104,09"
"июнь 2017 г.","104,35"
"июль 2017 г.","103,86"
"август 2017 г.","103,29"
"сент€брь 2017 г.","102,96"
"окт€брь 2017 г.","102,72"
"но€брь 2017 г.","102,49"
"декабрь 2017 г.","102,51"
"€нварь 2018 г.","102,19"
"февраль 2018 г.","102,18"
"март 2018 г.","102,35"
"апрель 2018 г.","102,4"
"май 2018 г.","102,41"
"июнь 2018 г.","102,29"
"июль 2018 г.","102,5"
"август 2018 г.","103,06"
"сент€брь 2018 г.","103,38"
"окт€брь 2018 г.","103,54"
"но€брь 2018 г.","103,83"
"декабрь 2018 г.","104,26"
"€нварь 2019 г.","104,99"
"февраль 2019 г.","105,22"
"март 2019 г.","105,25"
"апрель 2019 г.","105,17"
"май 2019 г.","105,13"
"июнь 2019 г.","104,66"
"июль 2019 г.","104,58"
"август 2019 г.","104,31"
"сент€брь 2019 г.","103,99"
"окт€брь 2019 г.","103,75"
"но€брь 2019 г.","103,53"
"декабрь 2019 г.","103,04"
"€нварь 2020 г.","102,42"
"февраль 2020 г.","102,31"
"март 2020 г.","102,54"
"апрель 2020 г.","103,09"
"май 2020 г.","103,02"
"июнь 2020 г.","103,21"
"июль 2020 г.","103,37"
"август 2020 г.","103,58"
"сент€брь 2020 г.","103,67"
"окт€брь 2020 г.","103,99"
"но€брь 2020 г.","104,42"
"декабрь 2020 г.","104,91"
"€нварь 2021 г.","105,19"
"февраль 2021 г.","105,67"
"март 2021 г.","105,79"
"апрель 2021 г.","105,53"
"май 2021 г.","106,02"
"июнь 2021 г.","106,5"
"июль 2021 г.","106,46"
"август 2021 г.","106,68"
"сент€брь 2021 г.","107,4"
"окт€брь 2021 г.","108,13"
"но€брь 2021 г.","108,4"
"декабрь 2021 г.","108,39"
"€нварь 2022 г.","108,73"
"февраль 2022 г.","109,15"
"март 2022 г.","116,69"
"апрель 2022 г.","117,83"
"май 2022 г.","117,1"
"июнь 2022 г.","115,9"
"июль 2022 г.","115,1"
"август 2022 г.","114,3"
"сент€брь 2022 г.","113,68"
"окт€брь 2022 г.","112,63"
"но€брь 2022 г.","111,98"
"декабрь 2022 г.","111,94"
"€нварь 2023 г.","111,77"
"февраль 2023 г.","110,99"
"март 2023 г.","103,51"
"апрель 2023 г.","102,31"
"май 2023 г.","102,51"
"июнь 2023 г.","103,25"
"июль 2023 г.","104,3"
"август 2023 г.","105,15"
"сент€брь 2023 г.","106"
"окт€брь 2023 г.","106,69"
"но€брь 2023 г.","107,48"
"декабрь 2023 г.","107,42"
"€нварь 2024 г.","107,44"
"февраль 2024 г.","107,69"
"март 2024 г.","107,72"
"апрель 2024 г.","107,84"
"май 2024 г.","108,3"
